     vehicle name   , time[s]            , dt[s]              , u[ft/s]            , v[ft/s]            , w[ft/s]            , p[rad/s]           , q[rad/s]           , r[rad/s]           , x[ft]              , y[ft]              , z[ft]              , e0                 , ex                 , ey                 , ez                 , aileron[deg]       , elevator[deg]      , rudder[deg]        , throttle           , d_aileron          , d_elevator         , d_rudder           , d_throttle         , aileron_sp[deg]    , elevator_sp[deg]   , rudder_sp[deg]     , throttle_sp[none]  
                F16,  0.000000000000E+00,  1.000000000000E-02,  2.095090728158E+02,  0.000000000000E+00,  6.712636149733E+01, -0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00, -5.000000000000E+02,  9.880065706625E-01,  0.000000000000E+00,  1.544118399857E-01,  0.000000000000E+00,  0.000000000000E+00, -1.314850861866E+01,  0.000000000000E+00,  1.482617872568E-01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00, -1.314850861866E+01,  0.000000000000E+00,  1.482617872568E-01 
                F16,  1.000000000000E-02,  1.000000000000E-02,  2.095090728158E+02,  1.105261854927E-23,  6.712636149733E+01, -1.762232717774E-24, -1.303607986043E-18, -1.653952243239E-23,  2.200000000000E+00, -2.572930779002E-28, -5.000000000000E+02,  9.880065706625E-01, -7.138013300540E-27,  1.544118399857E-01, -2.679141566832E-26,  0.000000000000E+00, -1.314850861866E+01,  0.000000000000E+00,  1.482617872568E-01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00, -1.314850861866E+01,  0.000000000000E+00,  1.482617872568E-01 
                F16,  2.000000000000E-02,  1.000000000000E-02,  2.095090728158E+02,  8.823795721469E-23,  6.712636149733E+01, -7.253954180158E-24, -2.607215971139E-18, -6.609751493273E-23,  4.400000000000E+00, -4.497068587739E-27, -5.000000000000E+02,  9.880065706625E-01, -5.758722769125E-26,  1.544118399857E-01, -2.141025277374E-25,  0.000000000000E+00, -1.314850861866E+01,  0.000000000000E+00,  1.482617872568E-01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00, -1.314850861866E+01,  0.000000000000E+00,  1.482617872568E-01 
                F16,  3.000000000000E-02,  1.000000000000E-02,  2.095090728158E+02,  2.971793343678E-22,  6.712636149733E+01, -1.679088081213E-23, -3.910823954341E-18, -1.485785765491E-22,  6.600000000000E+00, -2.388342142249E-26, -5.000000000000E+02,  9.880065706625E-01, -1.960025963336E-25,  1.544118399857E-01, -7.218119361858E-25,  0.000000000000E+00, -1.314850861866E+01,  0.000000000000E+00,  1.482617872568E-01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00, -1.314850861866E+01,  0.000000000000E+00,  1.482617872568E-01 
                F16,  4.000000000000E-02,  1.000000000000E-02,  2.095090728158E+02,  7.029263927761E-22,  6.712636149733E+01, -3.069934488808E-23, -5.214431934709E-18, -2.638813072127E-22,  8.800000000000E+00, -7.879707379773E-26, -5.000000000000E+02,  9.880065706625E-01, -4.685491126018E-25,  1.544118399857E-01, -1.709064240558E-24,  0.000000000000E+00, -1.314850861866E+01,  0.000000000000E+00,  1.482617872568E-01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00, -1.314850861866E+01,  0.000000000000E+00,  1.482617872568E-01 
                F16,  5.000000000000E-02,  1.000000000000E-02,  2.095090728158E+02,  1.369935689459E-21,  6.712636149733E+01, -4.931594386432E-23, -6.518039911302E-18, -4.118983725199E-22,  1.100000000000E+01, -2.003548328556E-25, -5.000000000000E+02,  9.880065706625E-01, -9.229487794810E-25,  1.544118399857E-01, -3.334232502750E-24,  0.000000000000E+00, -1.314850861866E+01,  0.000000000000E+00,  1.482617872568E-01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00, -1.314850861866E+01,  0.000000000000E+00,  1.482617872568E-01 
                F16,  6.000000000000E-02,  1.000000000000E-02,  2.095090728158E+02,  2.362051665126E-21,  6.712636149733E+01, -7.298719051474E-23, -7.821647883184E-18, -5.925165703059E-22,  1.320000000000E+01, -4.319280213132E-25, -5.000000000000E+02,  9.880065706625E-01, -1.608525899309E-24,  1.544118399857E-01, -5.754881304692E-24,  0.000000000000E+00, -1.314850861866E+01,  0.000000000000E+00,  1.482617872568E-01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00, -1.314850861866E+01,  0.000000000000E+00,  1.482617872568E-01 
                F16,  7.000000000000E-02,  1.000000000000E-02,  2.095090728158E+02,  3.742487996681E-21,  6.712636149733E+01, -1.020691639703E-22, -9.125255849423E-18, -8.056168989694E-22,  1.540000000000E+01, -8.306598109533E-25, -5.000000000000E+02,  9.880065706625E-01, -2.576250689444E-24,  1.544118399857E-01, -9.127730409025E-24,  0.000000000000E+00, -1.314850861866E+01,  0.000000000000E+00,  1.482617872568E-01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00, -1.314850861866E+01,  0.000000000000E+00,  1.482617872568E-01 
                F16,  8.000000000000E-02,  1.000000000000E-02,  2.095090728158E+02,  5.573809336106E-21,  6.712636149733E+01, -1.369271617623E-22, -1.042886380909E-17, -1.051074627508E-21,  1.760000000000E+01, -1.468981385361E-24, -5.000000000000E+02,  9.880065706625E-01, -3.878781229912E-24,  1.544118399857E-01, -1.360861903058E-23,  0.000000000000E+00, -1.314850861866E+01,  0.000000000000E+00,  1.482617872568E-01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00, -1.314850861866E+01,  0.000000000000E+00,  1.482617872568E-01 
                F16,  9.000000000000E-02,  1.000000000000E-02,  2.095090728158E+02,  7.917913438896E-21,  6.712636149733E+01, -1.779353529672E-22, -1.173247176126E-17, -1.328759367225E-21,  1.980000000000E+01, -2.436126855017E-24, -5.000000000000E+02,  9.880065706625E-01, -5.570503749530E-24,  1.544118399857E-01, -1.935247072622E-23,  0.000000000000E+00, -1.314850861866E+01,  0.000000000000E+00,  1.482617872568E-01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00, -1.314850861866E+01,  0.000000000000E+00,  1.482617872568E-01 
