parameter,independent_variables,2
alpha[deg],beta[deg],Cy_aileron,Cl_aileron,Cn_aileron
-20,-30,0.0148969,-0.0948245,-0.04068
-20,-25,0.0286479,-0.0664631,-0.0148969
-20,-20,0.0699009,-0.0667496,-0.0272155
-20,-15,0.00859437,-0.0719062,-0.00687549
-20,-10,0.027502,-0.0850842,-0.0277885
-20,-8,0.0644578,-0.103705,-0.0303668
-20,-6,0.0280749,-0.0721927,-0.0260696
-20,-4,0.0200535,-0.0690414,-0.0283614
-20,-2,0.0349504,-0.0727656,-0.0277885
-20,0,0.0375287,-0.0667496,-0.027502
-20,2,0.0214859,-0.0627389,-0.0260696
-20,4,0.04068,-0.0644578,-0.0300803
-20,6,0.0292208,-0.0670361,-0.0292208
-20,8,0.0441178,-0.0721927,-0.0320856
-20,10,0.040107,-0.0756304,-0.0306532
-20,15,0.0572958,-0.0845113,-0.0507068
-20,20,-0.00286479,-0.0888085,-0.0286479
-20,25,0.0343775,-0.0882355,-0.040107
-20,30,0.0515662,-0.0601606,-0.0134645
-15,-30,-0.0409665,-0.116597,-0.0157563
-15,-25,-0.0613065,-0.118316,0.00744845
-15,-20,-0.0232048,-0.125478,-0.00143239
-15,-15,-0.0360963,-0.130921,-0.00343775
-15,-10,0.0183346,-0.110008,-0.0226318
-15,-8,0.0289344,-0.101414,-0.0257831
-15,-6,0.0369558,-0.1017,-0.0277885
-15,-4,0.0423989,-0.0936786,-0.0306532
-15,-2,0.0489879,-0.0882355,-0.0320856
-15,0,0.0446907,-0.0893814,-0.0309397
-15,2,0.0444042,-0.0899544,-0.0295073
-15,4,0.0501338,-0.0868031,-0.0309397
-15,6,0.06102,-0.0873761,-0.0355234
-15,8,0.0587282,-0.0931056,-0.0369558
-15,10,0.0658901,-0.102846,-0.0383882
-15,15,0.123186,-0.0842248,-0.0561499
-15,20,0.108862,-0.0893814,-0.0581552
-15,25,0.148969,-0.0942516,-0.0667496
-15,30,0.128916,-0.094538,-0.0444042
-10,-30,-0.0650307,-0.117743,0.00143239
-10,-25,-0.107716,-0.120321,0.0257831
-10,-20,-0.047269,-0.117743,0.0054431
-10,-15,-0.0458366,-0.123759,0.00802141
-10,-10,0.0315127,-0.120608,-0.0183346
-10,-8,0.0435448,-0.111154,-0.027502
