parameter,independent_variables,1
alpha[deg],Cy_pbar_lef,Cl_pbar_lef,Cn_pbar_lef
-20,0.323148196,-0.013750987,-0.140947618
-15,0.323148196,-0.013750987,-0.140947618
-10,0.323148196,-0.013750987,-0.140947618
-5,-0.158136351,-0.041252961,-0.020855664
0,0.451490743,0.229183118,-0.139801702
5,-0.137739054,-0.045836624,-0.029564622
10,0.277311573,-0.132926208,-0.100611389
15,0.119175221,-0.199389313,-0.117341756
20,-0.171887339,-0.061879442,0.067379837
25,-0.242934105,0.128342546,-0.003896113
30,0.176471001,0.187930157,-0.133842941
35,1.471355618,-0.829642887,-0.483576379
40,0.584416951,-0.444615249,-0.898397823
45,0.293354391,-0.222307625,-0.449198911
