parameter,independent_variables,1
alpha[deg],Cy_rbar_lef,Cl_rbar_lef,Cn_rbar_lef
-20,1.278841799,-0.066463104,-0.313980872
-15,1.278841799,-0.066463104,-0.313980872
-10,1.278841799,-0.066463104,-0.313980872
-5,0.453782574,-0.401070457,-0.224599456
0,0.245225936,-0.152406774,-0.084797754
5,-0.061879442,-0.082505922,-0.036669299
10,0.19480565,-0.016042818,-0.016042818
15,0.105424234,-0.151260858,-0.032085637
20,-0.758596121,-0.460658067,0.236058612
25,-0.492743704,-0.013750987,0.224599456
30,-0.985487408,0.15584452,0.710467666
35,0.137509871,1.230713344,1.001530226
40,0.857144862,1.803671139,-0.382735807
45,0.428572431,0.902981485,-0.192513819
