parameter,independent_variables,2
alpha[deg],beta[deg],Cy_rudder,Cl_rudder,Cn_rudder
-20,-30,0.081742,0.00725747,-0.0450727
-20,-25,0.0666541,0.013369,-0.0433538
-20,-20,0.08136,0.013751,-0.0467916
-20,-15,0.0914823,0.0168068,-0.0477465
-20,-10,0.143812,0.0221544,-0.0765854
-20,-8,0.169214,0.0336135,-0.0920552
-20,-6,0.189458,0.041062,-0.103323
-20,-4,0.186211,0.040298,-0.102941
-20,-2,0.188503,0.0372423,-0.0996947
-20,0,0.163102,0.0383882,-0.0918642
-20,2,0.17437,0.0334225,-0.0926282
-20,4,0.174561,0.0387701,-0.095111
-20,6,0.186402,0.040298,-0.100077
-20,8,0.185065,0.04068,-0.094538
-20,10,0.165203,0.0307487,-0.0861347
-20,15,0.221544,0.0351414,-0.115165
-20,20,0.236823,0.0378152,-0.117647
-20,25,0.252101,0.0380062,-0.12013
-20,30,0.240642,0.0429718,-0.118411
-15,-30,0.0702828,0.0103132,-0.0376242
-15,-25,0.0886175,0.0145149,-0.0416349
-15,-20,0.0922462,0.0189076,-0.0481285
-15,-15,0.0968299,0.0167495,-0.0529031
-15,-10,0.14133,0.0263561,-0.0716197
-15,-8,0.177999,0.0311307,-0.0914823
-15,-6,0.186975,0.0372423,-0.0996947
-15,-4,0.183919,0.0359054,-0.0998856
-15,-2,0.185065,0.0328496,-0.0962569
-15,0,0.171887,0.0336135,-0.0924372
-15,2,0.175707,0.0345685,-0.0935831
-15,4,0.176471,0.0349504,-0.094538
-15,6,0.181819,0.0353324,-0.0966389
-15,8,0.171314,0.0341865,-0.0912913
-15,10,0.160619,0.0317037,-0.0840338
-15,15,0.202445,0.0420169,-0.104278
-15,20,0.213904,0.0427808,-0.108289
-15,25,0.233003,0.0466006,-0.115165
-15,30,0.250192,0.0582507,-0.118793
-10,-30,0.0771583,0.00859437,-0.0351414
-10,-25,0.0712378,0.012987,-0.0374332
-10,-20,0.103705,0.0143239,-0.054049
-10,-15,0.105233,0.0143239,-0.053667
-10,-10,0.142285,0.0248282,-0.0712378
-10,-8,0.167686,0.0286479,-0.0863256
-10,-6,0.182965,0.0351414,-0.0977848
-10,-4,0.174943,0.0349504,-0.0975938
-10,-2,0.16845,0.0364783,-0.0933921
-10,0,0.165967,0.0351414,-0.0909093
-10,2,0.160619,0.0330406,-0.0907183
-10,4,0.173415,0.0336135,-0.0920552
-10,6,0.175707,0.0345685,-0.0932011
-10,8,0.168068,0.0355234,-0.0876625
-10,10,0.158327,0.0278839,-0.081551
-10,15,0.190986,0.0397251,-0.0993127
-10,20,0.194806,0.0393431,-0.0991217
-10,25,0.225363,0.040871,-0.115165
-10,30,0.219634,0.0443087,-0.118029
-5,-30,0.0974028,0.0332316,-0.0993127
-5,-25,0.116501,0.0313217,-0.0874716
-5,-20,0.187166,0.0299848,-0.0966389
-5,-15,0.154699,0.0261651,-0.0781132
-5,-10,0.146295,0.0244462,-0.0779223
-5,-8,0.154699,0.0297938,-0.0893814
-5,-6,0.159282,0.0315127,-0.0911003
-5,-4,0.163102,0.0315127,-0.0920552
-5,-2,0.163293,0.0309397,-0.0891904
-5,0,0.155654,0.0294118,-0.0857527
-5,2,0.177617,0.0286479,-0.0886175
-5,4,0.173606,0.0305577,-0.0886175
-5,6,0.173797,0.0301758,-0.0901454
-5,8,0.164248,0.0284569,-0.0847978
-5,10,0.16845,0.026738,-0.0846068
-5,15,0.155845,0.0252101,-0.0765854
-5,20,0.126433,0.0211994,-0.0651262
-5,25,0.191177,0.0206265,-0.0658901
-5,30,0.210466,0.0194806,-0.0639803
0,-30,0.0324676,0.0257831,-0.0989307
0,-25,0.0840338,0.026547,-0.0888085
0,-20,0.150879,0.026738,-0.0825059
0,-15,0.143239,0.0234913,-0.0769673
0,-10,0.137892,0.0208175,-0.0721927
0,-8,0.170359,0.0278839,-0.0889994
0,-6,0.167877,0.0290299,-0.0891904
0,-4,0.168832,0.0286479,-0.0901454
0,-2,0.165967,0.0284569,-0.0880445
0,0,0.164057,0.0278839,-0.0861347
0,2,0.176471,0.02712,-0.0859437
0,4,0.181246,0.0278839,-0.0874716
0,6,0.177999,0.027311,-0.0868986
0,8,0.176471,0.0263561,-0.0840338
0,10,0.164821,0.0246372,-0.0790682
0,15,0.158327,0.0225363,-0.0742935
0,20,0.150688,0.0198625,-0.068182
0,25,0.220971,0.0206265,-0.0630254
0,30,0.284187,0.0211994,-0.0517572
5,-30,0.0248282,0.0187166,-0.0987397
5,-25,0.105042,0.0246372,-0.0935831
5,-20,0.179527,0.026738,-0.0882355
5,-15,0.173797,0.0244462,-0.0838428
5,-10,0.16272,0.0223454,-0.0771583
5,-8,0.184683,0.026738,-0.0886175
5,-6,0.186975,0.027693,-0.0895724
5,-4,0.17628,0.0280749,-0.0888085
5,-2,0.17819,0.0278839,-0.0870896
5,0,0.17628,0.027502,-0.0859437
5,2,0.182774,0.026738,-0.0857527
5,4,0.18984,0.027311,-0.0876625
5,6,0.188885,0.026738,-0.0861347
5,8,0.18411,0.0255921,-0.0830789
5,10,0.174752,0.0244462,-0.0786862
5,15,0.162338,0.0223454,-0.0723837
5,20,0.159664,0.0211994,-0.068182
5,25,0.227273,0.0233003,-0.0611155
5,30,0.284187,0.0211994,-0.054431
