parameter,independent_variables,3
elevator[deg],alpha[deg],beta[deg],Cx,Cy,Cz,Cl,Cm,Cn
-25,-20,-30,-0.1042,0.3692,1.286,-0.0112,0.2003,-0.0623
-25,-20,-25,-0.1077,0.2991,1.378,-0.0077,0.1777,-0.0642
-25,-20,-20,-0.1093,0.2417,1.387,-0.0034,0.1822,-0.053
-25,-20,-15,-0.1059,0.1692,1.431,0.0076,0.1082,-0.0507
-25,-20,-10,-0.1049,0.1078,1.526,0.0184,0.112,-0.0252
-25,-20,-8,-0.103,0.0874,1.51,0.0199,0.1111,-0.0156
-25,-20,-6,-0.1053,0.0837,1.465,0.0121,0.1202,-0.0104
-25,-20,-4,-0.1063,0.0572,1.434,0.0102,0.113,-0.0041
-25,-20,-2,-0.1102,0.026,1.475,0.0107,0.1078,-0.0011
-25,-20,0,-0.1116,0,1.455,0,0.112,0
-25,-20,2,-0.1122,-0.0258,1.462,-0.0077,0.1199,-0.0002
-25,-20,4,-0.1112,-0.0592,1.452,-0.0134,0.1252,-0.0042
-25,-20,6,-0.1106,-0.0863,1.477,-0.018,0.1336,-0.0012
-25,-20,8,-0.1085,-0.1209,1.481,-0.0162,0.1389,0.0072
-25,-20,10,-0.1044,-0.1504,1.439,-0.0128,0.1362,0.0142
-25,-20,15,-0.1054,-0.2106,1.317,-0.004,0.1327,0.0392
-25,-20,20,-0.1088,-0.2836,1.286,0.0074,0.207,0.0411
-25,-20,25,-0.1072,-0.3396,1.253,0.012,0.2024,0.0523
-25,-20,30,-0.1037,-0.4106,1.205,-0.0046,0.2237,0.0501
-25,-15,-30,-0.1022,0.4368,1.051,0.0024,0.151,-0.0738
-25,-15,-25,-0.104,0.3797,1.136,0.0045,0.1355,-0.078
-25,-15,-20,-0.1026,0.3249,1.186,0.0094,0.1402,-0.0656
-25,-15,-15,-0.102,0.2636,1.234,0.01297,0.1343,-0.0491
-25,-15,-10,-0.1011,0.1826,1.219,0.0089,0.1071,-0.0291
-25,-15,-8,-0.1025,0.1456,1.208,0.0071,0.113,-0.0236
-25,-15,-6,-0.1054,0.1068,1.208,0.0092,0.111,-0.0144
-25,-15,-4,-0.1059,0.0701,1.211,0.0106,0.1197,-0.0079
-25,-15,-2,-0.1092,0.0336,1.23,0.0055,0.1269,-0.003
-25,-15,0,-0.109,0,1.247,0,0.1327,0
-25,-15,2,-0.1109,-0.0337,1.244,-0.0045,0.1327,0.0036
-25,-15,4,-0.1085,-0.0702,1.22,-0.0081,0.1276,0.0095
-25,-15,6,-0.1066,-0.11,1.226,-0.0105,0.1194,0.0166
-25,-15,8,-0.1035,-0.15,1.228,-0.0104,0.109,0.0259
-25,-15,10,-0.1021,-0.1902,1.215,-0.0076,0.0992,0.0326
-25,-15,15,-0.103,-0.2712,1.241,-0.0109,0.1266,0.0512
-25,-15,20,-0.1036,-0.3332,1.183,-0.0066,0.1326,0.0681
-25,-15,25,-0.105,-0.3882,1.131,-0.0023,0.1275,0.0811
-25,-15,30,-0.1032,-0.4452,1.053,0.0001,0.1485,0.0771
-25,-10,-30,-0.0973,0.5,0.789,-0.0012,0.1335,-0.0792
-25,-10,-25,-0.1024,0.4441,0.824,0.0047,0.1418,-0.0724
-25,-10,-20,-0.1049,0.3671,0.837,0.0078,0.1627,-0.0577
-25,-10,-15,-0.1045,0.2896,0.849,0.0068,0.1501,-0.048
-25,-10,-10,-0.1008,0.1871,0.883,0.0055,0.1407,-0.0315
-25,-10,-8,-0.1005,0.1475,0.8998,0.002,0.1462,-0.0223
-25,-10,-6,-0.1014,0.1096,0.933,0.0023,0.1549,-0.0171
-25,-10,-4,-0.1041,0.0757,0.951,0.0002,0.1673,-0.0085
-25,-10,-2,-0.1073,0.0377,0.947,0.0016,0.1776,-0.0015
-25,-10,0,-0.1029,0,0.958,0,0.1968,0
-25,-10,2,-0.1059,-0.0339,0.934,-0.0046,0.1706,0.0088
-25,-10,4,-0.1027,-0.0708,0.912,-0.0037,0.1548,0.0162
-25,-10,6,-0.1012,-0.1108,0.907,-0.0058,0.1445,0.0237
-25,-10,8,-0.1013,-0.1513,0.894,-0.0065,0.1358,0.0325
-25,-10,10,-0.0993,-0.1949,0.877,-0.0082,0.1347,0.0405
-25,-10,15,-0.103,-0.2978,0.839,-0.0092,0.1417,0.0571
-25,-10,20,-0.1034,-0.3758,0.823,-0.0039,0.155,0.0665
-25,-10,25,-0.1009,-0.4528,0.825,-0.0002,0.1362,0.0735
-25,-10,30,-0.0958,-0.5078,0.789,0.0054,0.1277,0.0874
-25,-5,-30,-0.0753,0.5683,0.367,0.0317,0.1854,-0.0829
-25,-5,-25,-0.0788,0.4913,0.361,0.0194,0.1817,-0.08
-25,-5,-20,-0.0802,0.3913,0.381,0.0151,0.1686,-0.0728
-25,-5,-15,-0.0805,0.2943,0.377,0.012,0.1679,-0.0511
-25,-5,-10,-0.083,0.1926,0.403,0.0088,0.1752,-0.039
-25,-5,-8,-0.0833,0.149,0.402,0.0061,0.1749,-0.0294
-25,-5,-6,-0.0838,0.1125,0.412,0.004,0.1746,-0.0244
-25,-5,-4,-0.0836,0.0723,0.41,0.0014,0.1685,-0.0138
-25,-5,-2,-0.085,0.0369,0.438,-0.0001,0.1628,-0.0067
-25,-5,0,-0.0844,0,0.43,0,0.1573,0
-25,-5,2,-0.0841,-0.0363,0.422,-0.0011,0.1568,0.0058
-25,-5,4,-0.0841,-0.0765,0.411,-0.0021,0.1607,0.0129
-25,-5,6,-0.0839,-0.1169,0.406,-0.0041,0.1632,0.0209
-25,-5,8,-0.0842,-0.1644,0.41,-0.0056,0.1657,0.0321
-25,-5,10,-0.0831,-0.2132,0.409,-0.0089,0.1687,0.0424
-25,-5,15,-0.0816,-0.3148,0.389,-0.0122,0.1624,0.0549
-25,-5,20,-0.0813,-0.4118,0.374,-0.0155,0.161,0.0772
-25,-5,25,-0.0799,-0.513,0.365,-0.0198,0.1737,0.0829
-25,-5,30,-0.0764,-0.5889,0.367,-0.022,0.1792,0.0866
-25,0,-30,-0.0688,0.6293,0.12,0.0357,0.1807,-0.0997
-25,0,-25,-0.0753,0.5313,0.101,0.0327,0.1754,-0.0882
-25,0,-20,-0.0782,0.4173,0.095,0.0287,0.184,-0.08
-25,0,-15,-0.0813,0.3053,0.075,0.0222,0.1859,-0.0543
-25,0,-10,-0.0838,0.2024,0.073,0.0172,0.1846,-0.0382
-25,0,-8,-0.0832,0.1582,0.085,0.0132,0.1843,-0.0282
-25,0,-6,-0.0835,0.1116,0.075,0.01,0.1783,-0.0189
-25,0,-4,-0.0834,0.0729,0.081,0.0064,0.1755,-0.0115
-25,0,-2,-0.0842,0.0374,0.079,0.0031,0.1746,-0.0049
-25,0,0,-0.0845,0,0.08,0,0.174,0
-25,0,2,-0.0842,-0.0374,0.081,-0.0032,0.1744,0.006
-25,0,4,-0.0832,-0.0776,0.075,-0.0066,0.1743,0.013
-25,0,6,-0.0823,-0.1223,0.072,-0.0101,0.1731,0.0217
-25,0,8,-0.0825,-0.1712,0.065,-0.0138,0.1759,0.0318
-25,0,10,-0.0819,-0.2158,0.057,-0.0169,0.1765,0.0408
-25,0,15,-0.081,-0.3196,0.06,-0.0219,0.1812,0.0563
-25,0,20,-0.0779,-0.4308,0.082,-0.0284,0.1799,0.0719
-25,0,25,-0.0742,-0.5443,0.07,-0.0324,0.175,0.0915
-25,0,30,-0.0685,-0.6426,0.097,-0.0354,0.1746,0.1045
-25,5,-30,-0.0531,0.6397,-0.132,0.0462,0.1611,-0.1021
-25,5,-25,-0.0577,0.5367,-0.162,0.0391,0.1898,-0.0785
-25,5,-20,-0.0616,0.4267,-0.205,0.0386,0.1906,-0.0665
-25,5,-15,-0.0649,0.3097,-0.234,0.0325,0.192,-0.0507
-25,5,-10,-0.0621,0.2042,-0.245,0.0269,0.1948,-0.0347
-25,5,-8,-0.0625,0.163,-0.239,0.0217,0.1954,-0.0275
-25,5,-6,-0.0636,0.1174,-0.237,0.0159,0.1949,-0.0191
-25,5,-4,-0.0647,0.0775,-0.24,0.0107,0.194,-0.0116
-25,5,-2,-0.0652,0.0394,-0.243,0.0055,0.1952,-0.0047
-25,5,0,-0.066,0,-0.25,0,0.195,0
-25,5,2,-0.0647,-0.0352,-0.246,-0.0059,0.1958,0.0057
