parameter,independent_variables,2
elevator[deg],alpha[deg],Cm
-25,-20,0
-25,-15,0
-25,-10,0
-25,-5,0
-25,0,0
-25,5,0
-25,10,0
-25,15,0
-25,20,0
-25,25,0
-25,30,0
-25,35,0
-25,40,0
-25,45,0.048
-25,50,0.039
-25,55,0
-25,60,0.084
-25,70,0.099
-25,80,0.02
-25,90,0
-10,-20,0
-10,-15,0
-10,-10,0
-10,-5,0
-10,0,0
-10,5,0
-10,10,0
-10,15,0
-10,20,0
-10,25,0
-10,30,0
-10,35,0
-10,40,0.01
-10,45,0.057
-10,50,0.054
-10,55,0.025
-10,60,0.08
-10,70,0.075
-10,80,0.01
-10,90,0.01
0,-20,0
0,-15,0
0,-10,0
0,-5,0
0,0,0
0,5,0
0,10,0
0,15,0
0,20,0
0,25,0
0,30,0
0,35,0
0,40,0.01
0,45,0.064
0,50,0.105
0,55,0.075
0,60,0.106
0,70,0.132
0,80,0.05
0,90,0.04
10,-20,0
10,-15,0
10,-10,0
10,-5,0
10,0,0
10,5,0
10,10,0
10,15,0
10,20,0
10,25,0
10,30,0
10,35,0
10,40,0.02
10,45,0.07
10,50,0.075
10,55,0.04
10,60,0.1
10,70,0.02
10,80,0
10,90,0
15,-20,0
15,-15,0
15,-10,0
15,-5,0
15,0,0
15,5,0
15,10,0
15,15,0
15,20,0
15,25,0
15,30,0
15,35,-0.0113
15,40,0.0041
15,45,0.0706
15,50,0.0792
15,55,0.0416
15,60,0.0886
15,70,0.02875
15,80,0.0218
15,90,-0.03445
20,-20,0
20,-15,0
20,-10,0
20,-5,0
20,0,0
20,5,0
20,10,0
20,15,0
20,20,0
20,25,0
20,30,0
20,35,-0.0132
20,40,0.0297
20,45,0.0506
20,50,0.0747
20,55,0.05
20,60,0.0776
20,70,0.0361
20,80,-0.0251
20,90,-0.0378
25,-20,0
25,-15,0
25,-10,0
25,-5,0
25,0,0
25,5,0
25,10,0
25,15,0
25,20,0
25,25,0
25,30,0
25,35,0
25,40,0.0254
25,45,0.0407
25,50,0.0822
25,55,0.0583
25,60,0.0785
25,70,0.0468
25,80,-0.021
25,90,-0.0378
