parameter,independent_variables,2
alpha[deg],beta[deg],Cx_lef,Cy_lef,Cz_lef,Cl_lef,Cm_lef,Cn_lef
-20,-30,-0.182201,-0.00343775,-0.210848,0.0119175,0.0128343,-0.00229183
-20,-25,-0.177846,0.0181055,-0.242934,0.032544,0.0366693,-0.00572958
-20,-20,-0.185868,0.00985487,-0.174179,0.0382736,0.0220016,-0.00802141
-20,-15,-0.192514,0.0348358,-0.171887,0.0323148,0.176013,0.0203973
-20,-10,-0.206265,-0.00366693,-0.297938,0.0192514,0.131093,0.0176471
-20,-8,-0.202598,-0.00550039,-0.373568,0.00893814,0.133385,0.0144385
-20,-6,-0.187701,-0.0366693,-0.288771,0.0224599,0.130176,0.0224599
-20,-4,-0.182659,-0.0440032,-0.27502,0.0176471,0.141177,0.0201681
-20,-2,-0.173721,-0.0169596,-0.352942,0.00320856,0.152178,0.0103132
-20,0,-0.172346,0,-0.320856,0,0.144385,0
-20,2,-0.178075,0.00595876,-0.286479,-0.00435448,0.119634,-0.0105424
-20,4,-0.181055,0.0286479,-0.27502,-0.00756304,0.115967,-0.0146677
-20,6,-0.181971,0.0265852,-0.313981,-0.00687549,0.10657,-0.0142094
-20,8,-0.185868,0.030023,-0.327732,-0.0176471,0.100153,-0.0199389
-20,10,-0.192285,0.0190222,-0.332316,-0.0268144,0.126051,-0.0206265
-20,15,-0.178534,-0.0263561,-0.18793,-0.0357526,0.170283,-0.0217724
-20,20,-0.171887,-0.00572958,-0.231475,-0.0414821,0.0160428,0.00733386
-20,25,-0.163866,-0.0148969,-0.258977,-0.0364401,0.0311689,0.00504203
-20,30,-0.16822,0.00572958,-0.240642,-0.0165012,0.00756304,0.00206265
-15,-30,-0.158595,-0.0799849,-0.126051,-0.0165012,0.0430864,0.0268144
-15,-25,-0.166158,-0.132239,-0.181055,0.00320856,0.067609,0.0460658
-15,-20,-0.175554,-0.137052,-0.220016,0.0192514,0.0758596,0.046295
-15,-15,-0.184951,-0.154011,-0.258977,0.0257373,0.0870896,0.0472117
-15,-10,-0.184492,-0.113216,-0.208557,0.0224599,0.105883,0.0252101
-15,-8,-0.185409,-0.0955694,-0.181055,0.0197097,0.111841,0.0236059
-15,-6,-0.182888,-0.0721927,-0.176471,0.00870896,0.121238,0.0176471
-15,-4,-0.181971,-0.0593584,-0.155845,0,0.0939651,0.0158136
-15,-2,-0.179909,-0.0368985,-0.165012,0.0013751,0.0751721,0.00916732
-15,0,-0.179909,0,-0.174179,0,0.0589001,0
-15,2,-0.180825,0.0341483,-0.153553,-0.00320856,0.060046,-0.00733386
-15,4,-0.181284,0.0687549,-0.178763,-0.00458366,0.0776931,-0.0153553
-15,6,-0.183805,0.0960277,-0.178763,-0.00939651,0.0868604,-0.0217724
-15,8,-0.186326,0.113675,-0.222308,-0.0132926,0.101757,-0.0247518
-15,10,-0.18793,0.134072,-0.178763,-0.0258977,0.108174,-0.0288771
-15,15,-0.188389,0.179221,-0.254393,-0.0311689,0.0880063,-0.0478993
-15,20,-0.178992,0.181513,-0.190222,-0.0258977,0.078839,-0.0476701
-15,25,-0.169596,0.158595,-0.16272,-0.00847978,0.0699009,-0.0478993
-15,30,-0.162032,0.108174,-0.110008,0.0107716,0.0332316,-0.0297938
-10,-30,-0.127884,-0.145073,0.00916732,-0.00481285,0.0208557,0.0261269
-10,-25,-0.138197,-0.141635,0.0183346,0.0110008,0.0368985,0.0311689
-10,-20,-0.147365,-0.111383,0.00916732,0.0217724,0.041253,0.0192514
