parameter,independent_variables,1
alpha[deg],Cx_sb,Cz_sb,Cm_sb
-20,-0.00964479,-0.368412,-0.00324676
-15,-0.00964479,-0.368412,-0.00324676
-10,-0.00964479,-0.368412,-0.00324676
-5,-0.00964479,-0.368412,-0.00324676
0,-0.00964479,-0.368412,-0.00324676
5,-0.0341865,-0.256399,0.0275975
10,-0.0754394,-0.288484,0.020531
15,-0.11717,-0.405654,0.0116501
20,-0.174466,-0.199962,0.0230138
25,-0.180673,-0.0925327,0.0251147
30,-0.18984,0.0418259,-0.0155654
35,-0.190986,0.0904318,-0.040871
40,-0.178954,0.0013369,-0.067227
45,-0.15976,-0.00926282,-0.0805961
50,-0.140948,-0.0146104,-0.075344
55,-0.125096,-0.0496563,-0.0575823
60,-0.122136,-0.00095493,-0.0429718
70,-0.126528,-0.0192896,-0.0551949
80,-0.119366,-0.0352369,-0.0102177
90,-0.119366,-0.0352369,-0.0102177
