parameter,independent_variables,2
alpha[deg],beta[deg],Cy_aileron_lef,Cl_aileron_lef,Cn_aileron_lef
-20,-30,0.0118181,-0.0196968,0.0354543
-20,-25,-0.037424,-0.0525249,0.00787874
-20,-20,0.0991408,-0.037424,-0.016414
-20,-15,0.203534,-0.0426765,-0.0787874
-20,-10,0.14313,0.016414,-0.0282321
-20,-8,0.0223231,0.0755045,-0.010505
-20,-6,0.0945448,0.00393937,-0.0144443
-20,-4,0.115555,0.0131312,-0.00525249
-20,-2,0.0663127,0.0183837,0.00131312
-20,0,0.0387371,0.00459593,0.00459593
-20,2,0.0617168,-0.00459593,0.0124747
-20,4,0.0525249,0.00196968,0.0144443
-20,6,0.0932317,-0.0183837,0
-20,8,0.091262,0.0085353,0.00590905
-20,10,0.158231,0.0183837,-0.00919186
-20,15,0.111615,0.064343,0.0361109
-20,20,0.223231,0.0564643,-0.0315149
-20,25,0.361109,0.0695955,-0.0571208
-20,30,0.308584,0.0354543,-0.085353
-15,-30,0.0630299,0.0308584,-0.00196968
-15,-25,0.188433,0.0518683,-0.0347977
-15,-20,0.155605,0.085353,-0.0190403
-15,-15,0.178585,0.107479,-0.0256059
-15,-10,0.0472724,0.0551511,-0.00590905
-15,-8,0.0439896,0.0282321,-0.00656561
-15,-6,0.02101,0.0216665,-0.00525249
-15,-4,0.0315149,0.0157575,-0.00656561
-15,-2,0.0242928,-0.0111615,-0.00459593
-15,0,0.000656561,-0.00984842,0.00656561
-15,2,-0.00131312,0.00459593,0.00787874
-15,4,-0.00984842,-0.00262625,0.00525249
-15,6,-0.0216665,0.00196968,0.00984842
-15,8,-0.0328281,0.0302018,0.0242928
-15,10,-0.0518683,0.047929,0.0196968
-15,15,-0.203534,0.00262625,0.0315149
-15,20,-0.229796,0.0229796,0.026919
-15,25,-0.2101,0.0512118,0.0420199
-15,30,-0.10505,0.0689389,0.0124747
-10,-30,0.0735349,0.0380806,-0.0118181
-10,-25,0.152322,0.0597471,-0.0341412
-10,-20,0.0820702,0.0275756,-0.0118181
-10,-15,0.0354543,0.0328281,-0.016414
-10,-10,0.0367674,0.0400502,-0.0229796
-10,-8,-0.0137878,0.0157575,0.00459593
-10,-6,0.0295453,0.0295453,-0.0170706
-10,-4,0.0334846,0.0236362,-0.010505
-10,-2,-0.0177272,0.0295453,-0.000656561
-10,0,-0.037424,0.0498987,0.0111615
-10,2,-0.0439896,0.0518683,0.0170706
-10,4,-0.053838,0.0649996,0.02101
-10,6,-0.0623733,0.0676258,0.02101
-10,8,-0.0794439,0.0728783,0.0256059
-10,10,-0.0906055,0.0597471,0.0229796
-10,15,-0.0761611,0.0781308,0.0170706
-10,20,-0.137878,0.0768177,0.0131312
