     vehicle name   , time[s]            , dt[s]              , u[ft/s]            , v[ft/s]            , w[ft/s]            , p[rad/s]           , q[rad/s]           , r[rad/s]           , x[ft]              , y[ft]              , z[ft]              , e0                 , ex                 , ey                 , ez                 , aileron[deg]       , elevator[deg]      , rudder[deg]        , throttle           , d_aileron          , d_elevator         , d_rudder           , d_throttle         , aileron_sp[deg]    , elevator_sp[deg]   , rudder_sp[deg]     , throttle_sp[none]  , ground_track[deg]  , heading[deg]       , wind_direction[deg]
                F16,  0.000000000000E+00,  1.000000000000E-02,  4.989447815208E+02,  0.000000000000E+00,  3.246698312376E+01, -0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00, -1.000000000000E+03,  9.994722515012E-01,  0.000000000000E+00,  3.248412657280E-02,  0.000000000000E+00,  0.000000000000E+00, -7.625060176732E+00,  0.000000000000E+00,  8.887444703959E-02,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00, -1.384442446499E+00, -7.625060176732E+00,  0.000000000000E+00,  5.684341886081E-16,  3.536598082541E+02,  0.000000000000E+00,  4.500000000000E+01 
                F16,  1.000000000000E+00,  1.000000000000E-02,  4.982022158514E+02,  5.630173766703E-02,  3.246280031340E+01,  2.579825174172E-02, -1.009785027259E-05,  6.534822502840E-03,  4.497860104616E+02, -4.967633239327E+01, -9.999781729278E+02,  9.988872271756E-01,  3.414326373933E-02,  3.246293911441E-02,  2.168527325848E-03,  7.954955692669E-03, -7.625172272177E+00,  5.769433831216E-03,  5.022940465494E-02,  1.364680423657E-01, -7.792711537867E-03, -3.985944920653E-03, -4.192369259400E-02,  1.694963290960E-02, -7.625773040026E+00,  4.903079012950E-03,  7.840203429130E-03,  3.537891789417E+02,  1.272899455906E-01,  4.500000000000E+01 
                F16,  2.000000000000E+00,  1.000000000000E-02,  4.958197015954E+02,  1.208916495980E-01,  3.248327555845E+01, -6.544726398461E-03, -2.329627803218E-05,  4.079721454021E-03,  8.979349567243E+02, -9.741338446224E+01, -9.997275607138E+02,  9.988232469968E-01,  3.584242853295E-02,  3.235980644783E-02,  4.503831951964E-03,  2.746911016097E-02, -7.635152880724E+00, -1.052567007602E-02,  2.661322938008E-02, -2.328992740370E-02, -1.310958238289E-02,  1.087420972583E-02, -5.003659570752E-03,  2.579554838305E-02, -7.636160980758E+00, -9.615580759185E-03,  3.529197467262E-02,  3.540486132814E+02,  3.938236750306E-01,  4.500000000000E+01 
                F16,  3.000000000000E+00,  1.000000000000E-02,  4.932146605233E+02,  8.811083597295E-02,  3.262972183146E+01, -5.641432906013E-03,  1.181984164732E-04,  3.917903103580E-03,  1.343460264305E+03, -1.429105785243E+02, -9.990532363005E+02,  9.989214415651E-01,  3.269847111329E-02,  3.228959051382E-02,  6.644239062305E-03,  1.842948665438E-02, -7.651167045230E+00, -5.548557338161E-03,  3.575892418752E-02, -4.686102109750E-03, -1.775086397982E-02, -4.763014381444E-03,  2.024489203724E-02,  1.805018902213E-02, -7.652506830386E+00, -5.911670621488E-03,  7.009669649043E-02,  3.542874793535E+02,  6.443642459252E-01,  4.500000000000E+01 
                F16,  4.000000000000E+00,  1.000000000000E-02,  4.915122593119E+02,  8.842354656928E-02,  3.284459969152E+01, -4.389578702813E-03,  4.029439700459E-04,  3.693018856603E-03,  1.786764805627E+03, -1.863493446256E+02, -9.979780723276E+02,  9.989817471843E-01,  3.025889705886E-02,  3.233687894081E-02,  8.613605622573E-03,  1.248037459780E-02, -7.668690543683E+00, -6.832358097122E-03,  6.138328377998E-02, -3.510570527896E-03, -1.624510854399E-02,  1.178479022108E-03,  2.855428889299E-02,  1.223825500906E-02, -7.669900940300E+00, -6.749353659234E-03,  1.002412359125E-01,  3.545197759174E+02,  8.771984940142E-01,  4.500000000000E+01 
                F16,  5.000000000000E+00,  1.000000000000E-02,  4.910838652951E+02,  7.783309597957E-02,  3.306143426495E+01, -3.634356572689E-03,  7.305827691521E-04,  3.495435087609E-03,  2.228986508311E+03, -2.278612440832E+02, -9.966945862060E+02,  9.990131365726E-01,  2.834355535785E-02,  3.254951280423E-02,  1.048451435636E-02,  1.079052226939E-02, -7.682234743225E+00, -6.980038695019E-03,  8.902103969617E-02, -1.306368139583E-03, -1.019421613072E-02, -5.919849551844E-04,  2.532281682479E-02,  1.069182836948E-02, -7.682980133455E+00, -7.021048314603E-03,  1.197767393043E-01,  3.547557924179E+02,  1.096809026339E+00,  4.500000000000E+01 
                F16,  6.000000000000E+00,  1.000000000000E-02,  4.917741510126E+02,  7.195111003087E-02,  3.321797801597E+01, -3.296772698910E-03,  9.747059433527E-04,  3.306809518511E-03,  2.671343947875E+03, -2.675300742242E+02, -9.954816441289E+02,  9.990271774582E-01,  2.666895251042E-02,  3.291465149979E-02,  1.225117906781E-02,  9.763777945620E-03, -7.688447854361E+00, -7.137246635959E-03,  1.101921753127E-01, -6.468290678606E-04, -2.059123824374E-03, -9.437069713654E-05,  1.652909544105E-02,  9.716219663252E-03, -7.688578744464E+00, -7.145520895979E-03,  1.278490160852E-01,  3.549957363698E+02,  1.305509560444E+00,  4.500000000000E+01 
                F16,  7.000000000000E+00,  1.000000000000E-02,  4.931753448807E+02,  6.589190220037E-02,  3.327529162000E+01, -3.068412085901E-03,  1.055486433571E-03,  3.118441079590E-03,  3.114750878838E+03, -3.054237776224E+02, -9.946104445628E+02,  9.990302378757E-01,  2.512810178916E-02,  3.336697079879E-02,  1.392147873884E-02,  9.105421643578E-03, -7.686468939246E+00, -7.317463526646E-03,  1.217793416121E-01, -7.410814677796E-04,  5.786309602477E-03, -1.480906855860E-04,  6.773024889099E-03,  9.049288196982E-03, -7.686013133849E+00, -7.328164842002E-03,  1.267173704672E-01,  3.552340110618E+02,  1.503711684025E+00,  4.500000000000E+01 
                F16,  8.000000000000E+00,  1.000000000000E-02,  4.948396445224E+02,  6.057663801689E-02,  3.322496077163E+01, -2.849457395504E-03,  9.542051199099E-04,  2.945346670911E-03,  3.559678653763E+03, -3.416125324535E+02, -9.942696989632E+02,  9.990269551881E-01,  2.369291758221E-02,  3.381738057597E-02,  1.549752350917E-02,  8.321842295557E-03, -7.677492094645E+00, -7.440369885337E-03,  1.243680134463E-01, -8.227999786985E-04,  1.169322706228E-02, -1.304246747842E-04, -1.148856945959E-03,  8.259613196259E-03, -7.676598879677E+00, -7.450256994073E-03,  1.199041296167E-01,  3.554640250189E+02,  1.691328819445E+00,  4.500000000000E+01 
                F16,  9.000000000000E+00,  1.000000000000E-02,  4.964080255957E+02,  5.579187168182E-02,  3.308451083011E+01, -2.619214220530E-03,  7.027149644409E-04,  2.788306119102E-03,  4.006189706800E+03, -3.761756882230E+02, -9.945274910526E+02,  9.990209247606E-01,  2.236860288039E-02,  3.418111843286E-02,  1.698495329071E-02,  7.453394756812E-03, -7.663906246216E+00, -7.569842381530E-03,  1.204926184349E-01, -8.871338704059E-04,  1.492176084427E-02, -1.225863955940E-04, -6.076866165846E-03,  7.386650147275E-03, -7.662778091107E+00, -7.579050911222E-03,  1.108465286096E-01,  3.556808232300E+02,  1.868424770253E+00,  4.500000000000E+01 
