     vehicle name   , time[s]            , dt[s]              , u[ft/s]            , v[ft/s]            , w[ft/s]            , p[rad/s]           , q[rad/s]           , r[rad/s]           , x[ft]              , y[ft]              , z[ft]              , e0                 , ex                 , ey                 , ez                 , aileron[deg]       , elevator[deg]      , rudder[deg]        , throttle           , d_aileron          , d_elevator         , d_rudder           , d_throttle         , aileron_sp[deg]    , elevator_sp[deg]   , rudder_sp[deg]     , throttle_sp[none]  , ground_track[deg]  , heading[deg]       , wind_direction[deg]
                F16,  0.000000000000E+00,  1.000000000000E-02,  4.989449291758E+02,  0.000000000000E+00,  3.246471391732E+01, -0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00, -1.000000000000E+03,  9.994723253677E-01,  0.000000000000E+00,  3.248185376757E-02,  0.000000000000E+00,  0.000000000000E+00, -7.624960098965E+00,  0.000000000000E+00,  8.887381768049E-02,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00, -4.156544918032E-01, -9.030769851482E-17,  0.000000000000E+00,  5.684341886081E-16,  3.542894068625E+02,  0.000000000000E+00,  9.000000000000E+01 
                F16,  1.000000000000E-01,  1.000000000000E-02,  4.989868437533E+02, -5.090106924046E-04,  3.194112732631E+01,  7.902534601280E-03, -2.906025634433E-02,  4.392694022663E-04,  5.000025486150E+01, -5.000050203772E+00, -1.000004010846E+03,  9.994846667503E-01,  1.180537163717E-04,  3.209964154627E-02,  2.643577450902E-06, -3.027682414186E-01, -3.454871169306E+00, -2.362371671144E-04,  8.796846612974E-02, -2.732737669208E+00,  5.669065468307E+01, -9.494256242683E-03, -1.721579736641E-02, -3.856394247203E-01, -4.750706135390E-01, -1.676526277790E-03, -8.105802950287E-05,  3.542893145059E+02,  3.599998140694E+02,  9.000000000000E+01 
                F16,  2.000000000000E-01,  1.000000000000E-02,  4.992318924750E+02, -1.185157368907E-03,  2.788534724040E+01,  2.626520357749E-02, -1.325467047841E-01,  1.638946151164E-03,  1.000013402282E+02, -1.000032627128E+01, -1.000030854229E+03,  9.996020338368E-01,  9.801943864304E-04,  2.819241980428E-02,  2.517647746249E-05, -3.720103336522E-01, -7.887700685564E-01, -1.663339276715E-03,  8.558959869160E-02,  9.469639009643E-01, -3.264143335334E+00, -1.631545631834E-03, -2.965209575514E-02, -2.449725194103E-01, -2.271790032013E+00,  6.991011240320E-04, -1.007496937517E-04,  3.542891718002E+02,  3.599996481491E+02,  9.000000000000E+01 
                F16,  3.000000000000E-01,  1.000000000000E-02,  4.995994754712E+02, -2.668883900380E-02,  1.987644167109E+01,  3.589361851588E-02, -2.167542661790E-01,  2.732805372414E-03,  1.500017517280E+02, -1.500043639652E+01, -1.000025453208E+03,  9.998116468431E-01,  2.588608249226E-03,  1.923442941157E-02,  8.166661028503E-05, -2.255443912576E-01, -2.450620443035E+00,  4.620286724420E-03,  8.216489568714E-02,  1.540723469183E+00, -2.164819751735E+01,  1.419300259163E-01, -3.827763841906E-02, -1.244005171514E-01, -3.977659577622E+00,  1.999406748723E-02,  5.300922908553E-05,  3.542895491669E+02,  2.091369694696E-04,  9.000000000000E+01 
                F16,  4.000000000000E-01,  1.000000000000E-02,  4.998221674065E+02, -1.001039567322E-01,  1.048681884798E+01,  3.541080866723E-02, -2.460240694683E-01,  3.263319925733E-03,  1.999983577382E+02, -1.999988863764E+01, -9.998531997643E+02,  9.999624251150E-01,  4.403627347761E-03,  7.465121077767E-03,  1.684983566091E-04, -1.042220607713E-01, -4.248915913035E+00,  2.506376212503E-02,  7.803526108266E-02,  8.523940029689E-01, -1.306784810650E+01,  2.361971481718E-01, -4.385957073590E-02, -5.887907507413E-02, -4.945674959517E+00,  4.248721380560E-02,  6.844374736053E-04,  3.542895393503E+02,  1.015863520614E-03,  9.000000000000E+01 
                F16,  5.000000000000E-01,  1.000000000000E-02,  4.997798168007E+02, -2.021704564310E-01,  1.790688480041E+00,  3.092712693965E-02, -2.398654033462E-01,  3.142194510519E-03,  2.499825863815E+02, -2.499881851909E+01, -9.993819170408E+02,  9.999701077648E-01,  6.071312926981E-03, -4.780462717864E-03,  2.644094130952E-04, -4.553133260820E-02, -5.129253936812E+00,  4.563770569240E-02,  7.347613319783E-02,  3.885113966225E-01, -5.380501314593E+00,  1.505502351543E-01, -4.694352031162E-02, -2.347234761832E-02, -5.394114195915E+00,  5.271551256386E-02,  2.202463474175E-03,  3.542877452142E+02,  1.303711481103E-03,  9.000000000000E+01 
                F16,  6.000000000000E-01,  1.000000000000E-02,  4.995126437728E+02, -2.962078871012E-01, -5.303559427730E+00,  2.597383999408E-02, -2.179723216638E-01,  2.513157355380E-03,  2.999417850644E+02, -2.999789641977E+01, -9.985119856251E+02,  9.998395667274E-01,  7.494855324600E-03, -1.626497477704E-02,  3.443042970451E-04, -1.545926955136E-02, -5.478985381413E+00,  5.296580680107E-02,  6.871640041623E-02,  2.437811383379E-01, -2.122356603841E+00, -4.005089252590E-03, -4.793263972065E-02,  1.032329967556E-03, -5.585431635762E+00,  4.845281195132E-02,  4.690409680995E-03,  3.542834546099E+02,  6.309420887517E-04,  9.000000000000E+01 
                F16,  7.000000000000E-01,  1.000000000000E-02,  4.991088598972E+02, -3.535219972826E-01, -1.056158817105E+01,  2.131127472126E-02, -1.903137449410E-01,  1.591070948099E-03,  3.498623028725E+02, -3.499804528819E+01, -9.971745755303E+02,  9.996115684077E-01,  8.677098812291E-03, -2.648146629446E-02,  3.901340756010E-04,  6.312950117598E-03, -5.617782479281E+00,  4.586909947098E-02,  6.394800875911E-02,  1.932000251734E-01, -8.240793939612E-01, -1.287183134007E-01, -4.717235748917E-02,  1.942749865009E-02, -5.656105179456E+00,  3.339510624775E-02,  8.014824185999E-03,  3.542765261406E+02,  3.599988380483E+02,  9.000000000000E+01 
                F16,  8.000000000000E-01,  1.000000000000E-02,  4.986499201457E+02, -3.594066060704E-01, -1.405297323485E+01,  1.686150899933E-02, -1.617021033015E-01,  5.914580152697E-04,  3.997315691179E+02, -4.000023730317E+01, -9.953258235754E+02,  9.993311551397E-01,  9.632083042956E-03, -3.527478704639E-02,  3.933729490975E-04,  2.294793929017E-02, -5.666795250139E+00,  2.882782245133E-02,  5.932947265672E-02,  1.356503163159E-01, -2.352593840928E-01, -2.022270567964E-01, -4.498966929678E-02,  3.122927972585E-02, -5.674548400463E+00,  1.228569716824E-02,  1.193419684933E-02,  3.542671880516E+02,  3.599959515976E+02,  9.000000000000E+01 
                F16,  9.000000000000E-01,  1.000000000000E-02,  4.981949682473E+02, -3.123438686938E-01, -1.598603148192E+01,  1.257544452211E-02, -1.347131987360E-01, -2.914159002453E-04,  4.495393762882E+02, -4.500536134132E+01, -9.929422035479E+02,  9.990354013410E-01,  1.036919653191E-02, -4.266873455517E-02,  3.545731623560E-04,  3.306390905732E-02, -5.678125935061E+00,  6.917607097100E-03,  5.498692705759E-02,  6.537555858618E-02, -4.546606337754E-02, -2.265886143898E-01, -4.170573049538E-02,  3.591146608804E-02, -5.680844762378E+00, -1.010007574954E-02,  1.616960182112E-02,  3.542558930415E+02,  3.599921173182E+02,  9.000000000000E+01 
