     vehicle name   , time[s]            , dt[s]              , u[ft/s]            , v[ft/s]            , w[ft/s]            , p[rad/s]           , q[rad/s]           , r[rad/s]           , x[ft]              , y[ft]              , z[ft]              , e0                 , ex                 , ey                 , ez                 , aileron[deg]       , elevator[deg]      , rudder[deg]        , throttle           , d_aileron          , d_elevator         , d_rudder           , d_throttle         , aileron_sp[deg]    , elevator_sp[deg]   , rudder_sp[deg]     , throttle_sp[none]  , ground_speed[ft/s] , ground_track[deg]  , heading[deg]       , wind_direction[deg]
                F16,  0.000000000000E+00,  1.000000000000E-02,  4.989447815208E+02,  0.000000000000E+00,  3.246698312376E+01, -0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00, -1.000000000000E+03,  9.994722515012E-01,  0.000000000000E+00,  3.248412657280E-02,  0.000000000000E+00,  0.000000000000E+00, -7.625060176732E+00,  0.000000000000E+00,  8.887444703959E-02,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00, -2.691971423749E-01, -7.625060176732E+00,  0.000000000000E+00,  4.723074309313E-01,  4.527692569069E+02,  3.536598082541E+02,  0.000000000000E+00,  4.500000000000E+01 
                F16,  2.000000000000E+00,  1.000000000000E-02,  5.146552262570E+02,  4.994773431122E-02,  3.219365114187E+01,  1.408373238300E-02,  6.917078571906E-04,  3.427914000308E-03,  9.099323190810E+02, -9.914586367395E+01, -1.000888447833E+03,  9.992440161343E-01,  2.090275918100E-02,  3.272244843388E-02,  1.926719194369E-03, -5.095219811291E-02, -7.576946524493E+00, -4.088695984913E-03,  4.322886017342E-01,  5.779891019461E-02,  5.779242446641E-02,  1.740325609721E-04,  8.871755990609E-02, -4.662272052290E-02, -7.572513773237E+00, -4.055348460828E-03,  4.874915313938E-01,  4.681868736573E+02,  3.540410601074E+02,  1.549832002993E-01,  4.500000000000E+01 
                F16,  4.000000000000E+00,  1.000000000000E-02,  5.453358017324E+02,  6.524241503177E-02,  3.067549207936E+01, -6.096060905747E-03,  1.351848898024E-05,  2.467062860296E-03,  1.872704205551E+03, -1.929950938040E+02, -1.007899837026E+03,  9.991520105334E-01,  2.378502387809E-02,  3.324621430807E-02,  4.921556710595E-03,  2.927767075034E-02, -7.427361577171E+00, -3.701198671960E-03,  3.926688416804E-01,  1.690513340231E-02,  7.989748868265E-02,  3.732282226537E-04, -9.216715648948E-02,  3.048519015318E-02, -7.421362272724E+00, -3.673452290138E-03,  2.526832674734E-01,  4.981992078514E+02,  3.547995378791E+02,  5.080514717188E-01,  4.500000000000E+01 
                F16,  6.000000000000E+00,  1.000000000000E-02,  5.609508821251E+02,  4.608413882464E-02,  2.856091334068E+01, -8.030828092253E-03, -2.695409394423E-03,  1.392096163298E-03,  2.883721572019E+03, -2.802911693543E+02, -1.021298788019E+03,  9.993483974465E-01,  1.540000325505E-02,  3.187642657385E-02,  7.036607825244E-03,  2.751851251671E-02, -7.289089577225E+00, -3.109987935704E-03,  1.863316309158E-01, -1.298784738026E-02,  5.269465863769E-02,  2.500159045143E-04, -9.376627548104E-02,  2.652332883170E-02, -7.285182861154E+00, -3.091697032400E-03,  7.178134329275E-02,  5.133330277731E+02,  3.552643282257E+02,  7.773637335956E-01,  4.500000000000E+01 
                F16,  8.000000000000E+00,  1.000000000000E-02,  5.602389871490E+02,  2.446251040126E-02,  2.720432428634E+01, -1.143626826406E-03, -4.546136691518E-03,  1.213261085714E-03,  3.907994630676E+03, -3.633740591633E+02, -1.033225202356E+03,  9.995138504616E-01,  1.080890195898E-02,  2.802191960175E-02,  8.366743430909E-03, -1.129089572448E-03, -7.228025530093E+00, -2.985286062787E-03,  5.741284224165E-02, -1.157806576396E-02,  7.287999637334E-03, -1.485358943590E-04, -3.370835587453E-02, -1.984158759866E-03, -7.227543175280E+00, -2.997019719137E-03,  2.544444453384E-02,  5.124392328531E+02,  3.554287202461E+02,  9.356545679988E-01,  4.500000000000E+01 
                F16,  1.000000000000E+01,  1.000000000000E-02,  5.536955194378E+02,  2.331230948920E-02,  2.728410459003E+01,  2.177652946042E-03, -3.777750516643E-03,  1.503081189730E-03,  4.923209987306E+03, -4.438613837252E+02, -1.036224332505E+03,  9.996031103025E-01,  1.191259274035E-02,  2.363794646038E-02,  9.641550444825E-03, -1.178614295428E-02, -7.254464866665E+00, -3.544560314225E-03,  3.802772882640E-02,  6.705827564968E-04, -3.024121610278E-02, -3.344210611700E-04,  8.476799560965E-03, -1.172152636931E-02, -7.256777667604E+00, -3.569670238936E-03,  5.479656193709E-02,  5.058238235711E+02,  3.555064747611E+02,  1.071892608937E+00,  4.500000000000E+01 
                F16,  1.200000000000E+01,  1.000000000000E-02,  5.489343769580E+02,  2.924084952881E-02,  2.844013610796E+01,  7.168863880528E-04, -1.189122459343E-03,  1.650089475826E-03,  5.926410452592E+03, -5.217013322389E+02, -1.029171784314E+03,  9.996222736062E-01,  1.364256107693E-02,  2.107937852645E-02,  1.117364929923E-02, -4.238290862432E-03, -7.331227071587E+00, -4.089079646398E-03,  6.841281662722E-02,  5.031057638173E-03, -4.144868454696E-02, -1.841703187788E-04,  1.733126078079E-02, -3.860843727831E-03, -7.334342170920E+00, -4.102672364387E-03,  9.089135273170E-02,  5.009711416966E+02,  3.556320288318E+02,  1.234859950507E+00,  4.500000000000E+01 
                F16,  1.400000000000E+01,  1.000000000000E-02,  5.475136097311E+02,  2.883873762439E-02,  2.977862049348E+01, -1.156724837443E-03,  1.324144402821E-03,  1.529888414220E-03,  6.923578584743E+03, -5.963186029508E+02, -1.016481012806E+03,  9.996045746874E-01,  1.333946299400E-02,  2.119591419012E-02,  1.278617271401E-02,  3.153798825103E-03, -7.404897526776E+00, -4.310177958456E-03,  9.611014743445E-02,  1.781095671457E-03, -2.930625338325E-02, -5.857630911036E-05,  9.251598443488E-03,  3.281830551560E-03, -7.407075879005E+00, -4.314504323237E-03,  1.062364179412E-01,  4.994453446852E+02,  3.558154791402E+02,  1.416764989258E+00,  4.500000000000E+01 
                F16,  1.600000000000E+01,  1.000000000000E-02,  5.478147207326E+02,  2.427459452461E-02,  3.061717185207E+01, -1.340568078095E-03,  2.546990162722E-03,  1.365256995516E-03,  7.920006725554E+03, -6.674853396710E+02, -1.004075442051E+03,  9.995567166631E-01,  1.196552492026E-02,  2.321956312851E-02,  1.428454672901E-02,  3.280476837149E-03, -7.443839410797E+00, -4.405937705389E-03,  1.057801497353E-01, -1.158508666588E-03, -9.509212193171E-03, -5.015605839009E-05,  1.276051785501E-03,  3.191409741028E-03, -7.444527833110E+00, -4.409745218863E-03,  1.063499190215E-01,  4.996406269357E+02,  3.560130351881E+02,  1.593856605311E+00,  4.500000000000E+01 
                F16,  1.800000000000E+01,  1.000000000000E-02,  5.482144292022E+02,  2.047833205681E-02,  3.078835153678E+01, -6.968546458398E-04,  2.401852997911E-03,  1.286394328275E-03,  8.917316727255E+03, -7.353646524460E+02, -9.959672543110E+02,  9.994858225582E-01,  1.093271595227E-02,  2.575705837945E-02,  1.565695278821E-02,  6.240716699785E-04, -7.446291914723E+00, -4.533578198082E-03,  1.053446190680E-01, -1.095945464748E-03,  5.750866174789E-03, -7.647700639086E-05, -7.907500784561E-04,  5.430664127783E-04, -7.445843180906E+00, -4.539362755393E-03,  1.043763698464E-01,  4.999144272446E+02,  3.561965973789E+02,  1.757440110489E+00,  4.500000000000E+01 
