column,mean,stdev,min,max,n
 time[s]            ,10.0,0.0,10.0,10.0,10000
 dt[s]              ,0.010000000000001426,1.4260139997355288e-15,0.01,0.01,10000
 u[ft/s]            ,346.70397299406903,3.153880193003257,335.1068157965,358.6697363057,10000
 v[ft/s]            ,0.014083148172974017,5.920088880270009,-22.46687933165,23.15738456154,10000
 w[ft/s]            ,48.450333880799626,5.127619591993578,27.6308519315,69.46885399386,10000
 p[rad/s]           ,-7.36322649399698e-06,0.039495372045247765,-0.1418391980711,0.1787365781476,10000
 q[rad/s]           ,-6.074732201312104e-05,0.01113133668107213,-0.03842647099241,0.04340610797001,10000
 r[rad/s]           ,0.0001997879257032823,0.019660538001801946,-0.07198005830893,0.07306733145559,10000
 x[ft]              ,3499.8704286056222,12.191552712799917,3447.412960736,3541.354577486,10000
 y[ft]              ,0.4754873064142576,40.14418023010078,-146.0261574177,160.5708726826,10000
 z[ft]              ,-2997.775463271472,16.99672383876714,-3059.943553249,-2926.507326111,10000
 e0                 ,0.996909516403919,0.0010598159433429244,0.9894119161095,0.999088230835,10000
 ex                 ,-3.803957984582732e-05,0.03128063267611532,-0.1044194628732,0.1209102610487,10000
 ey                 ,0.06897244814816327,0.008622689191416911,0.03671260109167,0.09811647494066,10000
 ez                 ,0.00010685200041381248,0.018984048847883354,-0.07277984538251,0.07147982425394,10000
 aileron[deg]       ,0.0,0.0,0.0,0.0,10000
 elevator[deg]      ,-9.258535573714955,1.044550050375619e-12,-9.258535573716,-9.258535573716,10000
 rudder[deg]        ,0.0,0.0,0.0,0.0,10000
 throttle           ,0.07553867485538861,1.139423351613498e-14,0.0755386748554,0.0755386748554,10000
 d_aileron          ,0.0,0.0,0.0,0.0,10000
 d_elevator         ,0.0,0.0,0.0,0.0,10000
 d_rudder           ,0.0,0.0,0.0,0.0,10000
 d_throttle         ,0.0,0.0,0.0,0.0,10000
 aileron_sp[deg]    ,0.0,0.0,0.0,0.0,10000
 elevator_sp[deg]   ,-9.258535573714955,1.044550050375619e-12,-9.258535573716,-9.258535573716,10000
 rudder_sp[deg]     ,0.0,0.0,0.0,0.0,10000
 throttle_sp[none]  ,0.07553867485538861,1.139423351613498e-14,0.0755386748554,0.0755386748554,10000
